0,event_log,1,key pressed,,2021-05-19T12:55:18,,,,
1,event_log,1,key pressed,H,2021-05-19T12:55:18,,,,
2,event_log,1,key pressed,a,2021-05-19T12:55:19,,,,
3,event_log,1,key pressed,l,2021-05-19T12:55:19,,,,
4,event_log,1,key pressed,l,2021-05-19T12:55:19,,,,
5,event_log,1,key pressed,o,2021-05-19T12:55:19,,,,
6,event_log,1,key pressed,",",2021-05-19T12:55:19,,,,
7,event_log,1,word typed,"Hallo,",2021-05-19T12:55:19,,,,
8,event_log,1,key pressed,space,2021-05-19T12:55:19,,,,
9,event_log,1,key pressed,w,2021-05-19T12:55:20,,,,
10,event_log,1,key pressed,o,2021-05-19T12:55:20,,,,
11,event_log,1,key pressed,h,2021-05-19T12:55:20,,,,
12,event_log,1,key pressed,i,2021-05-19T12:55:20,,,,
13,event_log,1,key pressed,n,2021-05-19T12:55:20,,,,
14,event_log,1,word typed,wohin,2021-05-19T12:55:21,,,,
15,event_log,1,key pressed,space,2021-05-19T12:55:21,,,,
16,event_log,1,key pressed,w,2021-05-19T12:55:21,,,,
17,event_log,1,key pressed,o,2021-05-19T12:55:21,,,,
18,event_log,1,key pressed,l,2021-05-19T12:55:21,,,,
19,event_log,1,key pressed,l,2021-05-19T12:55:22,,,,
20,event_log,1,key pressed,e,2021-05-19T12:55:22,,,,
21,event_log,1,key pressed,n,2021-05-19T12:55:22,,,,
22,event_log,1,word typed,wollen,2021-05-19T12:55:22,,,,
23,event_log,1,key pressed,space,2021-05-19T12:55:22,,,,
24,event_log,1,key pressed,w,2021-05-19T12:55:23,,,,
25,event_log,1,key pressed,i,2021-05-19T12:55:23,,,,
26,event_log,1,key pressed,r,2021-05-19T12:55:23,,,,
27,event_log,1,word typed,wir,2021-05-19T12:55:23,,,,
28,event_log,1,key pressed,space,2021-05-19T12:55:23,,,,
29,event_log,1,key pressed,h,2021-05-19T12:55:23,,,,
30,event_log,1,key pressed,e,2021-05-19T12:55:24,,,,
31,event_log,1,key pressed,u,2021-05-19T12:55:24,,,,
32,event_log,1,key pressed,t,2021-05-19T12:55:24,,,,
33,event_log,1,word typed,heut,2021-05-19T12:55:24,,,,
34,event_log,1,key pressed,space,2021-05-19T12:55:24,,,,
35,event_log,1,key pressed,g,2021-05-19T12:55:25,,,,
36,event_log,1,key pressed,e,2021-05-19T12:55:25,,,,
37,event_log,1,key pressed,h,2021-05-19T12:55:26,,,,
38,event_log,1,key pressed,e,2021-05-19T12:55:26,,,,
39,event_log,1,key pressed,n,2021-05-19T12:55:26,,,,
40,event_log,1,key pressed,,2021-05-19T12:55:26,,,,
41,event_log,1,key pressed,?,2021-05-19T12:55:26,,,,
42,event_log,1,word typed,gehen?,2021-05-19T12:55:27,,,,
43,event_log,1,sentence typed,"Hallo, wohin wollen wir heut gehen?",2021-05-19T12:55:27,,,,
45,event_log,1,key pressed,return,2021-05-19T12:55:27,,,,
46,event_log,1,key pressed,,2021-05-19T12:55:29,,,,
47,event_log,1,key pressed,D,2021-05-19T12:55:30,,,,
